Cauliflower;38;1.95;1.00;25;15;
Cabbage;73;1.20;0.60;50;30;
Spinach;21;2.50;1.40;12;8;
Zucchini;94;1.85;1.10;60;35;
Kale;57;2.30;1.30;40;20;
Bell peppers;43;1.75;0.90;30;15;
Tomatoes;84;1.50;0.80;65;40;
Eggplant;29;2.05;1.20;20;12;
Asparagus;15;3.25;1.90;8;5;
Cucumber;62;1.40;0.80;45;20;
Radish;50;1.10;0.50;35;15;
Sweet potatoes;27;2.15;1.25;18;12;
Onions;76;1.00;0.50;55;25;
Garlic;12;3.50;2.00;8;4;
Peas;34;2.20;1.30;22;15;
Green beans;68;1.95;1.10;45;30;
Corn;24;1.75;0.95;18;10;
Beets;41;1.30;0.70;30;15;
